赛区,场次号,红方学校,蓝方学校,局数,红胜局,蓝胜局,场总伤害,平均时长,胜方学校,红方类别,蓝方类别,序号,热力图,代表局号,代表局game_id,代表局总伤害,轨迹图
东部赛区,69,中国矿业大学,浙江大学,2,0,2,19305.0,420.0,浙江大学,复活赛,全国赛,69,h2h_069_heatmap_中国矿业大学_vs_浙江大学.png,1,1779606939798,9765.0,h2h_069_paths_round1_中国矿业大学_vs_浙江大学.png
南部赛区,33,仲恺农业工程学院,厦门大学嘉庚学院,2,2,0,19237.0,420.0,仲恺农业工程学院,全国赛,复活赛,70,h2h_070_heatmap_仲恺农业工程学院_vs_厦门大学嘉庚学院.png,2,1778748736302,10363.0,h2h_070_paths_round2_仲恺农业工程学院_vs_厦门大学嘉庚学院.png
北部赛区,4,山东理工大学,西北工业大学,3,1,2,18879.0,420.0,西北工业大学,复活赛,全国赛,71,h2h_071_heatmap_山东理工大学_vs_西北工业大学.png,1,1780022425775,6851.0,h2h_071_paths_round1_山东理工大学_vs_西北工业大学.png
北部赛区,81,应急管理大学,大连理工大学,2,0,2,18767.0,420.0,大连理工大学,复活赛,全国赛,72,h2h_072_heatmap_应急管理大学_vs_大连理工大学.png,1,1780366183800,9388.0,h2h_072_paths_round1_应急管理大学_vs_大连理工大学.png
南部赛区,34,上海交通大学,电子科技大学中山学院,2,2,0,18629.0,420.0,上海交通大学,全国赛,全国赛,73,h2h_073_heatmap_上海交通大学_vs_电子科技大学中山学院.png,2,1778750536413,11527.0,h2h_073_paths_round2_上海交通大学_vs_电子科技大学中山学院.png
南部赛区,77,广州城市理工学院,上海交通大学,2,2,0,17602.0,420.0,广州城市理工学院,全国赛,全国赛,74,h2h_074_heatmap_广州城市理工学院_vs_上海交通大学.png,1,1778939363902,9590.0,h2h_074_paths_round1_广州城市理工学院_vs_上海交通大学.png
南部赛区,71,桂林电子科技大学,广州城市理工学院,2,0,2,17537.0,420.0,广州城市理工学院,复活赛,全国赛,75,h2h_075_heatmap_桂林电子科技大学_vs_广州城市理工学院.png,2,1778923796498,9189.0,h2h_075_paths_round2_桂林电子科技大学_vs_广州城市理工学院.png
北部赛区,69,长安大学,北京理工大学,2,0,2,17492.0,420.0,北京理工大学,全国赛,全国赛,76,h2h_076_heatmap_长安大学_vs_北京理工大学.png,1,1780298013412,9084.0,h2h_076_paths_round1_长安大学_vs_北京理工大学.png
北部赛区,80,沈阳理工大学,长安大学,3,1,2,17344.0,420.0,长安大学,复活赛,全国赛,77,h2h_077_heatmap_沈阳理工大学_vs_长安大学.png,3,1780365053659,6070.0,h2h_077_paths_round3_沈阳理工大学_vs_长安大学.png
南部赛区,10,东莞理工学院,华中科技大学,2,2,0,17311.0,420.0,东莞理工学院,全国赛,复活赛,78,h2h_078_heatmap_东莞理工学院_vs_华中科技大学.png,1,1778654862728,9541.0,h2h_078_paths_round1_东莞理工学院_vs_华中科技大学.png
