学校名,队伍类别,事件类型,增益类型,机器人类型,触发次数,覆盖局数,覆盖场数,学校触发次数,学校覆盖局数,学校覆盖场数,类型覆盖局数,类型覆盖场数,统计范围局数,统计范围场数,平均首次触发时间,最早触发时间
哈尔滨工业大学（威海）,全国赛,增益,台阶跨越,英雄,1,1,1,6,5,4,430,230,613,266,358,358
合肥工业大学（宣城校区）,全国赛,增益,飞坡,步兵3,6,4,4,6,4,4,254,154,613,266,118.8,14
合肥工业大学（宣城校区）,全国赛,增益,台阶跨越,英雄,6,4,3,6,4,3,430,230,613,266,226.8,119
江南大学霞客湾校区,复活赛,增益,飞坡,步兵3,6,6,4,6,6,4,254,154,613,266,240.3,86
武汉科技大学,分区赛队伍,增益,台阶跨越,工程,6,5,4,6,5,4,430,230,613,266,85.4,25
中国矿业大学,复活赛,能量机关,小能量机关,全队,6,5,4,6,5,4,228,122,613,266,35.2,11
中国矿业大学,复活赛,增益,飞坡,步兵3,2,2,2,6,6,5,254,154,613,266,278,231
中国矿业大学,复活赛,增益,飞坡,步兵4,4,4,4,6,6,5,254,154,613,266,307.8,252
常州大学,分区赛队伍,增益,过中央高地,步兵3,4,4,2,5,5,3,373,190,613,266,71.3,13
常州大学,分区赛队伍,增益,过中央高地,工程,1,1,1,5,5,3,373,190,613,266,67,67
大连理工大学,全国赛,增益,台阶跨越,步兵4,3,2,1,5,4,3,430,230,613,266,84.5,33
大连理工大学,全国赛,增益,台阶跨越,工程,2,2,2,5,4,3,430,230,613,266,293,216
华东理工大学,全国赛,能量机关,大能量机关,全队,5,3,2,5,3,2,105,64,613,266,256.4,187
江苏大学,分区赛队伍,增益,台阶跨越,步兵4,5,4,3,5,4,3,430,230,613,266,128.3,13
辽宁石油化工大学,分区赛队伍,增益,台阶跨越,步兵3,2,2,2,5,4,3,430,230,613,266,147,8
辽宁石油化工大学,分区赛队伍,增益,台阶跨越,工程,3,3,2,5,4,3,430,230,613,266,88.3,48
南昌大学,分区赛队伍,增益,台阶跨越,步兵3,5,3,2,5,3,2,430,230,613,266,98.3,19
天津大学,分区赛队伍,增益,台阶跨越,步兵3,4,4,3,5,5,3,430,230,613,266,234,57
天津大学,分区赛队伍,增益,台阶跨越,工程,1,1,1,5,5,3,430,230,613,266,121,121
五邑大学,全国赛,能量机关,大能量机关,全队,5,4,4,5,4,4,105,64,613,266,308.6,238
香港科技大学（广州）,分区赛队伍,增益,飞坡,步兵3,5,5,3,5,5,3,254,154,613,266,285.4,235
浙江大学,全国赛,增益,飞坡,步兵4,5,4,4,5,4,4,254,154,613,266,290.5,128
北京理工大学（珠海）,全国赛,增益,过中央高地,步兵4,4,3,2,4,3,2,373,190,613,266,176.3,20
北京信息科技大学,分区赛队伍,增益,台阶跨越,英雄,4,4,3,4,4,3,430,230,613,266,331.3,302
常州大学,分区赛队伍,能量机关,小能量机关,全队,4,3,3,4,3,3,228,122,613,266,112.5,19
成都大学,分区赛队伍,增益,过中央高地,步兵3,2,2,2,4,4,3,373,190,613,266,179.5,168
成都大学,分区赛队伍,增益,过中央高地,步兵4,1,1,1,4,4,3,373,190,613,266,32,32
成都大学,分区赛队伍,增益,过中央高地,英雄,1,1,1,4,4,3,373,190,613,266,281,281
东北大学秦皇岛分校,分区赛队伍,增益,台阶跨越,工程,4,4,2,4,4,2,430,230,613,266,87,69
广州航海学院,分区赛队伍,增益,台阶跨越,工程,4,2,2,4,2,2,430,230,613,266,165,138
桂林电子科技大学,复活赛,增益,过中央高地,步兵3,4,3,3,4,3,3,373,190,613,266,115.7,25
哈尔滨工业大学（威海）,全国赛,能量机关,大能量机关,全队,4,4,3,4,4,3,105,64,613,266,250,207
南昌大学,分区赛队伍,增益,飞坡,步兵3,2,2,1,4,4,2,254,154,613,266,341,331
南昌大学,分区赛队伍,增益,飞坡,步兵4,2,2,1,4,4,2,254,154,613,266,88.5,81
南京理工大学,全国赛,增益,台阶跨越,工程,1,1,1,4,4,3,430,230,613,266,69,69
南京理工大学,全国赛,增益,台阶跨越,英雄,3,3,2,4,4,3,430,230,613,266,131,10
南京理工大学江阴校区,分区赛队伍,增益,台阶跨越,步兵4,3,3,2,4,3,2,430,230,613,266,167.7,41
南京理工大学江阴校区,分区赛队伍,增益,台阶跨越,工程,1,1,1,4,3,2,430,230,613,266,320,320
太原理工大学,分区赛队伍,增益,台阶跨越,工程,4,3,3,4,3,3,430,230,613,266,149.7,98
武汉大学,分区赛队伍,增益,台阶跨越,步兵4,4,3,2,4,3,2,430,230,613,266,200.7,144
西安电子科技大学,复活赛,增益,台阶跨越,步兵4,4,2,2,4,2,2,430,230,613,266,139.5,88
中南大学,分区赛队伍,增益,台阶跨越,步兵3,4,4,2,4,4,2,430,230,613,266,155,136
重庆理工大学,分区赛队伍,增益,台阶跨越,英雄,3,2,2,3,2,2,430,230,613,266,341.5,327
哈尔滨工业大学（深圳）,全国赛,增益,飞坡,步兵3,3,3,3,3,3,3,254,154,613,266,242,100
杭州电子科技大学,分区赛队伍,增益,台阶跨越,工程,3,3,2,3,3,2,430,230,613,266,114,93
合肥工业大学,分区赛队伍,能量机关,小能量机关,全队,3,3,1,3,3,1,228,122,613,266,39.3,29
华中科技大学,复活赛,增益,飞坡,步兵4,3,3,3,3,3,3,254,154,613,266,290,209
吉林大学,分区赛队伍,能量机关,小能量机关,全队,3,3,2,3,3,2,228,122,613,266,41,8
青岛大学,分区赛队伍,增益,飞坡,步兵3,3,3,3,3,3,3,254,154,613,266,339.7,290
山东科技大学,全国赛,能量机关,大能量机关,全队,3,3,2,3,3,2,105,64,613,266,215.7,187
山东科技大学,全国赛,增益,飞坡,步兵3,1,1,1,3,2,2,254,154,613,266,65,65
山东科技大学,全国赛,增益,飞坡,步兵4,2,2,2,3,2,2,254,154,613,266,400,396
西北工业大学,全国赛,能量机关,小能量机关,全队,3,3,3,3,3,3,228,122,613,266,71,20
香港科技大学（广州）,分区赛队伍,增益,过中央高地,步兵3,3,3,3,3,3,3,373,190,613,266,101,15
应急管理大学,复活赛,增益,台阶跨越,工程,3,3,2,3,3,2,430,230,613,266,279,95
广西大学,分区赛队伍,增益,过中央高地,步兵3,2,2,1,2,2,1,373,190,613,266,175.5,110
桂林电子科技大学,复活赛,能量机关,大能量机关,全队,2,2,2,2,2,2,105,64,613,266,298,261
国防科技大学,分区赛队伍,增益,台阶跨越,步兵3,1,1,1,2,2,1,430,230,613,266,37,37
国防科技大学,分区赛队伍,增益,台阶跨越,步兵4,1,1,1,2,2,1,430,230,613,266,171,171
哈尔滨工程大学,分区赛队伍,增益,飞坡,步兵3,1,1,1,2,1,1,254,154,613,266,372,372
哈尔滨工程大学,分区赛队伍,增益,飞坡,步兵4,1,1,1,2,1,1,254,154,613,266,377,377
哈尔滨工程大学,分区赛队伍,增益,过中央高地,步兵3,2,2,2,2,2,2,373,190,613,266,39,36
哈尔滨工程大学,分区赛队伍,增益,台阶跨越,步兵3,1,1,1,2,2,2,430,230,613,266,301,301
哈尔滨工程大学,分区赛队伍,增益,台阶跨越,步兵4,1,1,1,2,2,2,430,230,613,266,365,365
哈尔滨工业大学（深圳）,全国赛,增益,过中央高地,步兵3,2,1,1,2,1,1,373,190,613,266,296,296
华南师范大学,分区赛队伍,增益,飞坡,步兵3,1,1,1,2,1,1,254,154,613,266,383,383
华南师范大学,分区赛队伍,增益,飞坡,步兵4,1,1,1,2,1,1,254,154,613,266,402,402
吉林大学,分区赛队伍,增益,台阶跨越,步兵3,2,1,1,2,1,1,430,230,613,266,97,97
江南大学霞客湾校区,复活赛,能量机关,小能量机关,全队,2,2,2,2,2,2,228,122,613,266,105,66
青岛大学,分区赛队伍,增益,过中央高地,步兵3,2,2,1,2,2,1,373,190,613,266,325.5,318
长安大学,全国赛,增益,台阶跨越,步兵4,2,1,1,2,1,1,430,230,613,266,14,14
中北大学,分区赛队伍,增益,台阶跨越,工程,2,2,2,2,2,2,430,230,613,266,108,79
中国科学技术大学,复活赛,增益,过中央高地,步兵3,2,2,1,2,2,1,373,190,613,266,342.5,287
常州大学,分区赛队伍,能量机关,大能量机关,全队,1,1,1,1,1,1,105,64,613,266,188,188
电子科技大学中山学院,全国赛,能量机关,小能量机关,全队,1,1,1,1,1,1,228,122,613,266,16,16
广东工业大学,复活赛,增益,飞坡,步兵4,1,1,1,1,1,1,254,154,613,266,252,252
广西大学,分区赛队伍,增益,台阶跨越,工程,1,1,1,1,1,1,430,230,613,266,144,144
广州城市理工学院,全国赛,增益,过中央高地,步兵4,1,1,1,1,1,1,373,190,613,266,188,188
桂林信息科技学院,分区赛队伍,能量机关,小能量机关,全队,1,1,1,1,1,1,228,122,613,266,19,19
哈尔滨工程大学,分区赛队伍,能量机关,小能量机关,全队,1,1,1,1,1,1,228,122,613,266,13,13
哈尔滨工业大学（深圳）,全国赛,增益,台阶跨越,步兵3,1,1,1,1,1,1,430,230,613,266,195,195
合肥工业大学,分区赛队伍,增益,飞坡,步兵4,1,1,1,1,1,1,254,154,613,266,318,318
华北理工大学,分区赛队伍,能量机关,大能量机关,全队,1,1,1,1,1,1,105,64,613,266,292,292
华北理工大学,分区赛队伍,增益,台阶跨越,工程,1,1,1,1,1,1,430,230,613,266,112,112
华南理工大学,全国赛,能量机关,大能量机关,全队,1,1,1,1,1,1,105,64,613,266,195,195
华南农业大学,全国赛,能量机关,大能量机关,全队,1,1,1,1,1,1,105,64,613,266,211,211
辽宁石油化工大学,分区赛队伍,增益,过中央高地,步兵3,1,1,1,1,1,1,373,190,613,266,280,280
南京理工大学,全国赛,能量机关,大能量机关,全队,1,1,1,1,1,1,105,64,613,266,270,270
南京理工大学,全国赛,能量机关,小能量机关,全队,1,1,1,1,1,1,228,122,613,266,133,133
青岛大学,分区赛队伍,增益,台阶跨越,步兵3,1,1,1,1,1,1,430,230,613,266,300,300
厦门大学,分区赛队伍,增益,台阶跨越,步兵4,1,1,1,1,1,1,430,230,613,266,16,16
厦门大学嘉庚学院,复活赛,增益,台阶跨越,英雄,1,1,1,1,1,1,430,230,613,266,240,240
上海工程技术大学,分区赛队伍,增益,过中央高地,步兵3,1,1,1,1,1,1,373,190,613,266,310,310
深圳大学,全国赛,增益,飞坡,步兵3,1,1,1,1,1,1,254,154,613,266,205,205
深圳技术大学,复活赛,增益,飞坡,步兵4,1,1,1,1,1,1,254,154,613,266,169,169
沈阳理工大学,复活赛,增益,飞坡,步兵4,1,1,1,1,1,1,254,154,613,266,12,12
沈阳理工大学,复活赛,增益,台阶跨越,步兵4,1,1,1,1,1,1,430,230,613,266,226,226
四川大学,分区赛队伍,能量机关,小能量机关,全队,1,1,1,1,1,1,228,122,613,266,30,30
四川大学,分区赛队伍,增益,飞坡,步兵4,1,1,1,1,1,1,254,154,613,266,88,88
四川大学,分区赛队伍,增益,过中央高地,步兵4,1,1,1,1,1,1,373,190,613,266,202,202
太原工业学院,分区赛队伍,能量机关,小能量机关,全队,1,1,1,1,1,1,228,122,613,266,21,21
太原工业学院,分区赛队伍,增益,飞坡,步兵4,1,1,1,1,1,1,254,154,613,266,43,43
太原工业学院,分区赛队伍,增益,过中央高地,工程,1,1,1,1,1,1,373,190,613,266,236,236
太原科技大学,复活赛,增益,台阶跨越,工程,1,1,1,1,1,1,430,230,613,266,261,261
武汉科技大学,分区赛队伍,增益,过中央高地,步兵3,1,1,1,1,1,1,373,190,613,266,174,174
西安电子科技大学,复活赛,增益,过中央高地,步兵4,1,1,1,1,1,1,373,190,613,266,10,10
西安交通大学,全国赛,能量机关,大能量机关,全队,1,1,1,1,1,1,105,64,613,266,381,381
西北工业大学,全国赛,能量机关,大能量机关,全队,1,1,1,1,1,1,105,64,613,266,194,194
西交利物浦大学,分区赛队伍,增益,飞坡,步兵4,1,1,1,1,1,1,254,154,613,266,142,142
西南交通大学,分区赛队伍,增益,台阶跨越,步兵4,1,1,1,1,1,1,430,230,613,266,10,10
香港大学,分区赛队伍,增益,飞坡,步兵3,1,1,1,1,1,1,254,154,613,266,116,116
中国科学技术大学,复活赛,能量机关,小能量机关,全队,1,1,1,1,1,1,228,122,613,266,23,23
中国科学技术大学,复活赛,增益,飞坡,步兵3,1,1,1,1,1,1,254,154,613,266,255,255
中南大学,分区赛队伍,能量机关,小能量机关,全队,1,1,1,1,1,1,228,122,613,266,24,24
中南大学,分区赛队伍,增益,飞坡,步兵3,1,1,1,1,1,1,254,154,613,266,331,331
中南大学,分区赛队伍,增益,过中央高地,步兵3,1,1,1,1,1,1,373,190,613,266,69,69
